dt,N_l,E,V_l,V[E],C_l,N_l C_l
0.025,12697864,0.4999265181467848,0.21393191146662885,1.6847866024287932e-08,4.562497598021254e-06,57.933974000000546
0.0125,1963104,-0.0001014166828657636,0.050034972930514496,2.548768324577531e-08,4.470607064118758e-05,87.76266609999792
0.00625,1244408,-0.000144930617928159,0.03871877730348483,3.111421439229323e-08,8.599095722624806e-05,107.0078351000009
0.003125,731280,-3.691805692220815e-05,0.025518390564005844,3.489551275025413e-08,0.0001644846411771101,120.28432839999708
0.0015625,380256,-0.00027286083862478023,0.014932789992597601,3.927035994855466e-08,0.0003554502590360222,135.16209370000166
0.00078125,188600,0.00012377652463992764,0.008190971597834633,4.3430390232421167e-08,0.0007937962762460154,149.7099776999985
0.000390625,86376,0.00018920450461842197,0.004324830842780995,5.0069820815747375e-08,0.0020058425928498724,173.25665980000056
0.0001953125,29360,-5.744290066128454e-05,0.0020296152437621045,6.912858459680193e-08,0.008184572741825715,240.29905570000298
9.765625e-05,8296,-0.0006492245894466923,0.0010084468160829743,1.215581986599535e-07,0.05191788770491795,430.71079639999937
4.8828125e-05,2824,-0.0003696852940600826,0.0004535734126359359,1.6061381467278183e-07,0.20615952804532658,582.1945072000022
2.44140625e-05,200,0.00022819601899391094,3.514692458707657e-05,1.7573462293538286e-07,3.181018727999997,636.2037455999994
1.220703125e-05,104,0.00038070496008139095,1.870825511195609e-05,1.798870683841932e-07,6.741018528846155,701.0659270000001
6.103515625e-06,72,0.00011654947260339664,1.0548717073682025e-05,1.465099593566948e-07,11.6186125638889,836.5401046000009
3.0517578125e-06,40,0.0006582443663941008,5.0074523131158504e-06,1.2518630782789627e-07,14.126498417500011,565.0599367000004
1.52587890625e-06,56,-0.0009015804979505906,3.0577992292894306e-05,5.460355766588269e-07,39.645752130357124,2220.162119299999
7.62939453125e-07,40,-0.00028377818017202806,4.501360653546789e-06,1.1253401633866971e-07,57.978937002500025,2319.157480100001
3.814697265625e-07,40,2.5088486304022416e-05,5.381732482948456e-07,1.3454331207371141e-08,112.42373447749999,4496.9493790999995
1.9073486328125e-07,40,0.00010649318462549431,2.854783882428027e-07,7.136959706070067e-09,223.61658632999996,8944.663453199999
 , ,0.4989369380064138, ,1.898895287753976e-06,469.60187500037904,22804.1240397
