dt,N_l,E,V_l,V[E],C_l,N_l C_l
0.025,5752,0.4892866998594139,0.20971459289585337,3.645942157438341e-05,8.448331015287298e-06,0.04859479999993254
0.0125,488,-0.003636456949142334,0.03144006289032373,6.442635838181092e-05,0.00017142827868832554,0.08365699999990286
0.00625,232,-0.0014480480121976304,0.018310113514379833,7.892290307922342e-05,0.000475900431035384,0.11040890000020909
0.003125,136,0.021322158378639062,0.016992969912426895,0.00012494830817960951,0.0014777941176463364,0.20097999999990174
0.0015625,72,0.016754373152432084,0.008594550180058374,0.00011936875250081075,0.0033787013888913163,0.24326650000017477
0.00078125,40,0.005988302111252661,0.0018826807212844587,4.7067018032111464e-05,0.004384589999999377,0.17538359999997508
0.000390625,40,-0.0014070088431556178,0.0006750971337895265,1.6877428344738163e-05,0.00814232999999831,0.3256931999999324
 , ,0.5268600196972423, ,0.00048807019009268764,0.018039192547274336,1.1879840000000286
