dt,N_l,E,V_l,V[E],C_l,N_l C_l
0.025,107856,0.501631171364384,0.21386016281451858,1.9828304666826006e-06,3.791873423821255e-06,0.4089762999996653
0.0125,23024,0.0013570778985570009,0.027862944912559008,1.2101696018310897e-06,1.0523666608743093e-05,0.24229689999970097
0.00625,14512,-0.0014013080246711594,0.02548653240735204,1.7562384514437735e-06,2.3853851984580335e-05,0.3461671000002298
0.003125,7680,-0.0028327323717297166,0.018522611002936677,2.4117983076740466e-06,6.0457617187492656e-05,0.4643144999999436
0.0015625,3016,-0.001952179176545318,0.01211711640441833,4.0176115399265015e-06,0.0002447371021221054,0.7381271000002698
0.00078125,1056,0.004003182381087821,0.0058343801150851585,5.524981169588218e-06,0.0010653318181816046,1.1249903999997743
0.000390625,312,0.0016891031172616964,0.002839449675674505,9.100800242546491e-06,0.005229551282051823,1.6316200000001686
0.0001953125,152,-0.0023537384893722152,0.0017137876552344705,1.1274918784437306e-05,0.014056550000000142,2.1365956000000215
 , ,0.500140576698972, ,3.7279348564130027e-05,0.020694797211560312,7.093087899999773
