dt,N_l,E,V_l,V[E],C_l,N_l C_l
0.025,1473456,0.5005966456596871,0.2229937286002248,1.5134060915305567e-07,3.3738279256387227e-06,4.971186999999929
0.0125,408528,-0.0002185304175456293,0.04405250119794841,1.0783226901937788e-07,8.587175664826319e-06,3.5081017000001666
0.00625,255256,-0.0005842647769371408,0.03239875086160883,1.2692650069580667e-07,1.6103830272353766e-05,4.110599299999933
0.003125,148672,-0.00031273137987493046,0.020886338588199573,1.404860268793019e-07,3.043503080606839e-05,4.5248368999998
0.0015625,79560,0.0005566024951890945,0.012050739170558936,1.5146730983608518e-07,6.231165786827408e-05,4.957515499999886
0.00078125,41840,0.0003005520974179632,0.006568060425223688,1.569804116927268e-07,0.00011543650095602646,4.829863200000147
0.000390625,18288,-7.703253854827305e-05,0.0033058183588280284,1.807643459551634e-07,0.00025584496391074595,4.678892699999722
0.0001953125,4392,-0.00035338867589331793,0.0017909636213974546,4.077786023218248e-07,0.0008606519808742945,3.779983499999901
 , ,0.4999078524634949, ,1.4235760755533422e-06,0.0013527449682782281,35.360979799999484
