dt,N_l,E,V_l,V[E],C_l,N_l C_l
0.025,17472,0.4972712754371287,0.21434210685857238,1.2267748789982394e-05,4.775606684973734e-06,0.08343939999986107
0.0125,2040,-0.0008522248000598909,0.02816731473975733,1.380750722537124e-05,4.216073529421442e-05,0.08600790000019742
0.00625,1176,0.0004623345116691692,0.027721418836810795,2.35726350653153e-05,0.0001270242346938348,0.14938049999994973
0.003125,472,-0.016731128891621753,0.016971173992162948,3.5955877102040144e-05,0.0005588847457632834,0.2637936000002698
0.0015625,192,0.00030241394245573197,0.008966480614924562,4.670041986939876e-05,0.0018318932291651413,0.35172349999970715
0.00078125,72,0.01010122872399808,0.0051044475747560126,7.089510520494461e-05,0.006690923611111701,0.4817465000000425
0.000390625,104,0.004724323206507473,0.0084034517596283,8.080242076565674e-05,0.006809091346152212,0.70814549999983
 , ,0.4952782221300775, ,0.0002840017140227092,0.01606475350886536,2.1242368999998575
