dt,N_l,E,V_l,V[E],C_l,N_l C_l
0.025,20760,0.49652931227932157,0.22368831898179745,1.0774967195654982e-05,5.448578998059516e-06,0.11311249999971555
0.0125,3248,-0.0020205061822204553,0.043889084813155496,1.3512649265134081e-05,4.547891009857587e-05,0.14771550000017442
0.00625,1544,-0.001967421904554512,0.03420172431513597,2.2151375851772e-05,0.00014926891191717912,0.23047120000012455
0.003125,600,0.011492260889171855,0.01929053765266281,3.215089608777135e-05,0.0005774333333340565,0.34646000000043387
0.0015625,240,-0.00020897705504070772,0.015231755022294884,6.346564592622869e-05,0.0027370116666652674,0.6568827999996641
0.00078125,88,0.010719060235178822,0.0050896196762796,5.783658723045e-05,0.007276581818182782,0.6403392000000848
0.000390625,56,0.0042736374992929016,0.0024796305624651613,4.427911718687788e-05,0.011878396428571135,0.6651901999999835
0.0001953125,40,0.00027923454744662336,0.0006591734154746172,1.6479335386865428e-05,0.016025852500001745,0.6410341000000698
9.765625e-05,40,0.004122284047830526,0.00016255770086178698,4.063942521544674e-06,0.03417468750000125,1.36698750000005
 , ,0.5232188843564266, ,0.00026471451665229905,0.07287015964777005,4.808193000000301
