dt,N_l,E,V_l,V[E],C_l,N_l C_l
0.025,258544,0.500711297694261,0.21484156282963823,8.30967119057639e-07,4.111305619151567e-06,1.0629533999979228
0.0125,14720,-0.0010672481386057228,0.05174875511358513,3.515540428912033e-06,0.0003143284850542905,4.6269152999991565
0.00625,6512,4.7090582137488725e-05,0.037173802331970644,5.7085077291109715e-06,0.0011522451781326819,7.503420600000024
0.003125,2344,-0.0012964796933073385,0.023349956213537512,9.961585415331703e-06,0.005680364675767776,13.314774799999668
0.0015625,1016,-0.0033238832145667113,0.014705922708853392,1.4474333374855701e-05,0.018635113484252733,18.933275300000776
0.00078125,368,0.004018950597968697,0.006858993369938802,1.863856894005109e-05,0.06795311005434775,25.00674449999997
0.000390625,168,-0.0038153967153328654,0.0034134307379287063,2.031804010671849e-05,0.18642209107142632,31.318911299999623
0.0001953125,104,-0.00480865064231699,0.002710698790402501,2.6064411446177892e-05,0.33931236826922584,35.28848629999949
9.765625e-05,40,-0.0020341811186035757,0.00016076636192550737,4.0191590481376845e-06,0.4418975974999967,17.675903899999867
4.8828125e-05,40,-0.0048412882644557195,0.0008159661851445575,2.0399154628613935e-05,0.8782355174999964,35.129420699999855
2.44140625e-05,40,0.0005750115282872225,3.522982699878388e-05,8.807456749695969e-07,1.7461976200000038,69.84790480000015
1.220703125e-05,40,-0.0007195384015016969,1.206135405028874e-05,3.0153385125721846e-07,3.519600937499985,140.78403749999939
6.103515625e-06,40,-0.0003540745303121835,1.4657075902617698e-05,3.6642689756544246e-07,6.934854327499994,277.39417309999976
 , ,0.48309160968365167, ,0.0001254789746607594,14.140259732523802,677.8869214999957
