dt,N_l,E,V_l,V[E],C_l,N_l C_l
0.025,336512,0.5005706101988537,0.2221297409274758,6.600945610482711e-07,3.806923378661147e-06,1.28107540000002
0.0125,95752,0.0002993827245635271,0.04423439161602258,4.619683308549438e-07,9.289602305958274e-06,0.8894980000001167
0.00625,58456,0.0004816840412027381,0.03224224691953919,5.515643718273434e-07,1.817014677706675e-05,1.062154100000214
0.003125,34168,6.331649079399457e-05,0.020498444345948216,5.999310567182222e-07,3.424976878951189e-05,1.1702461000000424
0.0015625,16384,-0.00257038717602504,0.011592443912208605,7.075466255010135e-07,8.339340820311472e-05,1.3663175999998316
0.00078125,8016,-0.0014317553360189395,0.007332684520044247,9.147560528997315e-07,0.0002230224550898089,1.7877479999999082
0.000390625,2144,-0.000291852404537376,0.0037432245656120623,1.7459069802295068e-06,0.0015800526585820233,3.387632899999858
0.0001953125,632,-0.0013493630527890233,0.0011038504766261918,1.7465988554211896e-06,0.006159887816456033,3.893049100000213
9.765625e-05,152,-0.001104300182147395,0.00025978643605871347,1.709121289859957e-06,0.02665299802631625,4.05125570000007
 , ,0.49466733530389617, ,9.097488124360179e-06,0.03476487080589843,18.888976900000273
