dt,N_l,E,V_l,V[E],C_l,N_l C_l
0.025,95136,0.5009917114438293,0.21276303579925204,2.2364093066688955e-06,3.8347103094536445e-06,0.3648190000001819
0.0125,18272,0.0004590245192213156,0.02879421599905439,1.5758655866382657e-06,1.4096995402809924e-05,0.2575803000001429
0.00625,10960,-0.0006250820689871428,0.025462823296278896,2.323250300755374e-06,3.5461277372230996e-05,0.3886555999996517
0.003125,4920,-0.0033090775175044665,0.018755501685916904,3.8120938386009968e-06,0.00012936223577235417,0.6364621999999825
0.0015625,1600,-0.001255619624892784,0.012867250446300195,8.042031528937622e-06,0.0008526955624998674,1.3643128999997878
0.00078125,576,0.0028164712417909936,0.006369166756531244,1.105758117453341e-05,0.003438513888888828,1.9805839999999648
0.000390625,216,0.0033806415561811803,0.002888310944551096,1.3371809928477297e-05,0.010870662037037673,2.3480630000001375
0.0001953125,64,0.003894995433700334,0.0005314368190183063,8.303700297161037e-06,0.038368226562500496,2.4555665000000317
9.765625e-05,32,0.0023596368544204385,0.00023537964130088975,7.355613790652805e-06,0.07347086875000032,2.3510678000000103
4.8828125e-05,16,0.0021133268318513426,4.615596312209527e-05,2.8847476951309543e-06,0.1378950437499995,2.206320699999992
2.44140625e-05,16,0.0016599949000289504,2.4134135156385727e-05,1.508383447274108e-06,0.28282498750000684,4.5251998000001095
 , ,0.5124860235696395, ,6.247148689483076e-05,0.5479037532697904,18.878631799999994
