dt,N_l,E,V_l,V[E],C_l,N_l C_l
0.025,2794744,0.4999889285795467,0.222979275245563,7.978522370763225e-08,4.470464665099905e-06,12.493804299999969
0.0125,927392,0.00023872942231081744,0.04407822247513473,4.7529224400398893e-08,8.073999344398124e-06,7.487762400000065
0.00625,605096,-0.0003163101089039235,0.032445582444234636,5.362055350594721e-08,1.402923023784652e-05,8.489031099999977
0.003125,353616,0.0002044686059988509,0.020795200796101643,5.8807296038928225e-08,2.619337982444251e-05,9.262398200000062
0.0015625,180640,2.7776760411631834e-05,0.011986102103277947,6.635353245835888e-08,5.382603576173435e-05,9.723135099999693
0.00078125,87840,0.00015310819652526543,0.006569188667991544,7.478584549170702e-08,0.00010690532445355093,9.390563699999914
0.000390625,18624,-0.0001537784809570924,0.003590002728086052,1.9276217397369265e-07,0.00022916946413231034,4.268052100000148
 , ,0.5001429229749322, ,5.736438495766651e-07,0.0004426678984193827,61.11474689999983
