dt,N_l,E,V_l,V[E],C_l,N_l C_l
0.0010000000000000002,81448,0.5011444960109368,0.20752010905194299,2.5478846509667884e-06,0.0001702577406890868,13.867152463644741
0.0005000000000000001,12736,-0.002319731948111168,0.043182707411374956,3.390602026646903e-06,0.0014043907864819563,17.886321056634195
0.00025000000000000006,4760,-0.0009493866011966467,0.03150501177595334,6.618699952931374e-06,0.0072931523696996795,34.71540527977047
0.00012500000000000003,1976,0.0008761502122619762,0.020080607824205534,1.0162250923180939e-05,0.027449340638723466,54.23989710211757
6.250000000000001e-05,672,-0.00011277422997607849,0.0116001883975815,1.726218511544866e-05,0.1380430709908805,92.7649437058717
3.125000000000001e-05,312,-0.00423459726636354,0.007539372082365577,2.416465411014608e-05,0.4379985096076361,136.65553499758246
1.5625000000000004e-05,152,-0.0034830941350332484,0.004062194839034894,2.67249660462822e-05,1.1219026584570344,170.52920408546922
7.812500000000002e-06,48,0.0034332806745874856,0.0011346477396789421,2.363849457664463e-05,3.2376977228947608,155.4094906989485
3.906250000000001e-06,32,-0.0005382042789887498,0.0007640648203033933,2.387702563448104e-05,6.563851194339805,210.04323821887377
1.9531250000000005e-06,16,0.005881226970668853,0.0004275568067547917,2.6722300422174482e-05,14.186821576673536,226.98914522677657
9.765625000000002e-07,32,-0.004475905522416239,0.0008250722679955897,2.578350837486218e-05,26.530114360619336,848.9636595398188
4.882812500000001e-07,16,-0.0002600163663535062,9.031686714145814e-06,5.644804196341134e-07,60.9937751267571,975.9004020281136
2.4414062500000006e-07,16,-0.0027548275203105456,4.5813347307027786e-05,2.8633342066892366e-06,118.01205880742054,1888.1929409187287
 , ,0.49220661599970533, ,0.00019432038646008862,231.25858016929624,4826.15733532235
