dt,N_l,E,V_l,V[E],C_l,N_l C_l
0.025,64728,0.49886050437399854,0.20805250705607306,3.2142582353243273e-06,4.439758682474137e-06,0.2873766999991859
0.0125,1528,0.004837246574835911,0.033478209671491566,2.190982308343689e-05,0.0013251885471204177,2.0248880999999983
0.00625,680,0.0037937042369472263,0.028790917752254414,4.2339584929785904e-05,0.00558308411764669,3.7964971999997488
0.003125,464,0.010431605246962619,0.026804447132519258,5.776820502698116e-05,0.012223979310345965,5.671926400000528
0.0015625,136,0.007413939946982952,0.01268966062291312,9.33063281096553e-05,0.0677844507352862,9.218685299998924
0.00078125,64,0.00535353717728218,0.0061590498233844,9.623515349038126e-05,0.14103491718748984,9.02623469999935
0.000390625,72,-0.009623403931137768,0.007871252673395144,0.00010932295379715478,0.24662094166665027,17.75670779999882
0.0001953125,16,0.0001830764894177007,0.0004576434842516182,2.860271776572614e-05,0.5460669562500016,8.737071300000025
9.765625e-05,16,-0.0004993136748483371,0.00010910476143484892,6.8190475896780575e-06,1.1105554750000268,17.76888760000043
4.8828125e-05,16,0.0005082708875461797,0.00011903738718291319,7.4398366989320745e-06,2.1668614249999933,34.66978279999989
 , ,0.5212591673279872, ,0.0004669579087270559,4.298060857573244,108.9580578999969
