dt,N_l,E,V_l,V[E],C_l,N_l C_l
0.0010000000000000002,617320,0.4999002184643848,0.20850647385519436,3.377607624168897e-07,0.00012802912817510832,79.03494140505786
0.0005000000000000001,167680,2.0650876706523676e-05,0.04306622707704851,2.5683580079346677e-07,0.00035967142833263476,60.309705102816196
0.00025000000000000006,96040,-0.00023172823402423136,0.03184418977845717,3.3157215512762566e-07,0.0008009552528755099,76.92374248616397
0.00012500000000000003,53120,0.0011377404316533924,0.020868777170931056,3.9286101601903343e-07,0.0016890760525536486,89.72371991164981
6.250000000000001e-05,24464,-0.0013149236267863344,0.012414977404382743,5.074794557056386e-07,0.004585289092173471,112.1745123509318
3.125000000000001e-05,9832,-0.0008530945194026808,0.006552421840366646,6.664383482879014e-07,0.014649873825420602,144.03755945153537
1.5625000000000004e-05,2864,0.0014517076384806772,0.003708486406849372,1.2948625722239426e-06,0.09653673896061356,276.48122038319724
7.812500000000002e-06,744,-0.0018468411420563594,0.0016241659210921011,2.1830187111452974e-06,0.6485236097748082,482.5015656724573
3.906250000000001e-06,288,0.0005683118443914129,0.0008052533622635535,2.7960186189706718e-06,2.2279092259122995,641.6378570627422
1.9531250000000005e-06,88,-0.00013118797618265167,0.000331683155937568,3.7691267720178184e-06,10.180561473931782,895.8894097059967
9.765625000000002e-07,88,0.00036995602643701583,0.00041907407953828256,4.762205449298665e-06,11.910663427975535,1048.1383816618472
 , ,0.4990708097836016, ,1.729817966200695e-05,25.08640737133457,3906.852615194396
