dt,N_l,E,V_l,V[E],C_l,N_l C_l
0.025,18728,0.5046969013870836,0.22161146244819646,1.1833162240933174e-05,5.3299658265753405e-06,0.09981960000010298
0.0125,2432,-0.0009212600818688035,0.04028239480545441,1.6563484706190136e-05,6.0141776315876e-05,0.14626480000021044
0.00625,1368,0.0007697581648726249,0.033526879196189824,2.450795262879373e-05,0.0001550123538011231,0.2120568999999364
0.003125,408,-0.0004389569513768479,0.0177458026135227,4.3494614248830145e-05,0.001003518137253664,0.40943539999949496
0.0015625,144,-0.009443825267981905,0.00825965985133124,5.735874896757806e-05,0.0037067256944433155,0.5337684999998374
0.00078125,64,-0.001253325751417141,0.003487987485691442,5.449980446392878e-05,0.009171946875002668,0.5870046000001707
0.000390625,32,0.0011682170283358606,0.0009411311892429234,2.9410349663841357e-05,0.018017734375000313,0.57656750000001
0.0001953125,16,0.0005716630903953462,0.0004510080318265035,2.8188001989156468e-05,0.03418133124999656,0.546901299999945
 , ,0.4951491716180428, ,0.0002658561189092519,0.0663017404276401,3.111818599999708
