dt,N_l,E,V_l,V[E],C_l,N_l C_l
0.0010000000000000002,2907960,0.49997342334526057,0.20808749781837127,7.155789550694345e-08,0.00013753868959018388,399.9570077806711
0.0005000000000000001,799472,-4.825626627641991e-05,0.043055423837238135,5.3854823980374715e-08,0.00037196225278295867,297.37340615689754
0.00025000000000000006,489568,0.0003015307927098499,0.03181753858444672,6.499105044538598e-08,0.0007353954921296718,360.02610029093916
0.00012500000000000003,283488,0.0006281121732753842,0.020693743092140157,7.299689260970537e-08,0.0014262640047777951,404.3287301864476
6.250000000000001e-05,147568,-5.133827897411432e-05,0.012157712937313051,8.238719056511609e-08,0.0029011979729504037,428.1239824723452
3.125000000000001e-05,72704,0.00016207493675274393,0.0066684902958054045,9.17210923168657e-08,0.005937063336192219,431.6482527945191
1.5625000000000004e-05,15928,8.212430931797813e-05,0.0034758563838650676,2.18223027615838e-07,0.01392830188324397,221.84999239630994
 , ,0.5010476710120662, ,6.557319730402294e-07,0.0254377236316672,2543.3074720781296
